,date,derv,t-1,t-2,t-3,t-4,t-5,t-6,t-7,t-8,t-9,t-10,Value
38,2021-06-21 06:20:00+00:00,-0.0001604210526315787,0.466344,0.47244,0.481584,0.48768,0.490728,0.496824,0.499872,0.499872,0.496824,0.490728,0.460248
39,2021-06-21 06:30:00+00:00,-7.815384615384603e-05,0.460248,0.466344,0.47244,0.481584,0.48768,0.490728,0.496824,0.499872,0.499872,0.496824,0.4572
40,2021-06-21 06:40:00+00:00,-7.619999999999987e-05,0.4572,0.460248,0.466344,0.47244,0.481584,0.48768,0.490728,0.496824,0.499872,0.499872,0.454152
41,2021-06-21 06:50:00+00:00,0.0,0.454152,0.4572,0.460248,0.466344,0.47244,0.481584,0.48768,0.490728,0.496824,0.499872,0.454152
42,2021-06-21 07:00:00+00:00,0.0,0.454152,0.454152,0.4572,0.460248,0.466344,0.47244,0.481584,0.48768,0.490728,0.496824,0.454152
43,2021-06-21 07:10:00+00:00,0.00014176744186046488,0.454152,0.454152,0.454152,0.4572,0.460248,0.466344,0.47244,0.481584,0.48768,0.490728,0.460248
44,2021-06-21 07:20:00+00:00,0.00034636363636363706,0.460248,0.454152,0.454152,0.454152,0.4572,0.460248,0.466344,0.47244,0.481584,0.48768,0.475488
45,2021-06-21 07:30:00+00:00,0.00013546666666666644,0.475488,0.460248,0.454152,0.454152,0.454152,0.4572,0.460248,0.466344,0.47244,0.481584,0.481584
46,2021-06-21 07:40:00+00:00,0.00013252173913043457,0.481584,0.475488,0.460248,0.454152,0.454152,0.454152,0.4572,0.460248,0.466344,0.47244,0.48768
47,2021-06-21 07:50:00+00:00,0.0,0.48768,0.481584,0.475488,0.460248,0.454152,0.454152,0.454152,0.4572,0.460248,0.466344,0.48768
48,2021-06-21 08:00:00+00:00,6.34999999999999e-05,0.48768,0.48768,0.481584,0.475488,0.460248,0.454152,0.454152,0.454152,0.4572,0.460248,0.490728
49,2021-06-21 08:10:00+00:00,0.0001244081632653059,0.490728,0.48768,0.48768,0.481584,0.475488,0.460248,0.454152,0.454152,0.454152,0.4572,0.496824
50,2021-06-21 08:20:00+00:00,0.00018287999999999969,0.496824,0.490728,0.48768,0.48768,0.481584,0.475488,0.460248,0.454152,0.454152,0.454152,0.505968
51,2021-06-21 08:30:00+00:00,0.0001792941176470596,0.505968,0.496824,0.490728,0.48768,0.48768,0.481584,0.475488,0.460248,0.454152,0.454152,0.515112
52,2021-06-21 08:40:00+00:00,5.861538461538558e-05,0.515112,0.505968,0.496824,0.490728,0.48768,0.48768,0.481584,0.475488,0.460248,0.454152,0.5181600000000001
53,2021-06-21 08:50:00+00:00,5.7509433962263e-05,0.5181600000000001,0.515112,0.505968,0.496824,0.490728,0.48768,0.48768,0.481584,0.475488,0.460248,0.521208
54,2021-06-21 09:00:00+00:00,5.6444444444445375e-05,0.521208,0.5181600000000001,0.515112,0.505968,0.496824,0.490728,0.48768,0.48768,0.481584,0.475488,0.524256
55,2021-06-21 09:10:00+00:00,0.00016625454545454417,0.524256,0.521208,0.5181600000000001,0.515112,0.505968,0.496824,0.490728,0.48768,0.48768,0.481584,0.5334
56,2021-06-21 09:20:00+00:00,5.4428571428572335e-05,0.5334,0.524256,0.521208,0.5181600000000001,0.515112,0.505968,0.496824,0.490728,0.48768,0.48768,0.536448
57,2021-06-21 09:30:00+00:00,0.00010694736842105246,0.536448,0.5334,0.524256,0.521208,0.5181600000000001,0.515112,0.505968,0.496824,0.490728,0.48768,0.542544
58,2021-06-21 09:40:00+00:00,0.0001051034482758619,0.542544,0.536448,0.5334,0.524256,0.521208,0.5181600000000001,0.515112,0.505968,0.496824,0.490728,0.54864
59,2021-06-21 09:50:00+00:00,0.00020664406779660985,0.54864,0.542544,0.536448,0.5334,0.524256,0.521208,0.5181600000000001,0.515112,0.505968,0.496824,0.560832
60,2021-06-21 10:00:00+00:00,5.080000000000084e-05,0.560832,0.54864,0.542544,0.536448,0.5334,0.524256,0.521208,0.5181600000000001,0.515112,0.505968,0.56388
61,2021-06-21 10:10:00+00:00,4.9967213114754926e-05,0.56388,0.560832,0.54864,0.542544,0.536448,0.5334,0.524256,0.521208,0.5181600000000001,0.515112,0.5669280000000001
62,2021-06-21 10:20:00+00:00,-4.9161290322581465e-05,0.5669280000000001,0.56388,0.560832,0.54864,0.542544,0.536448,0.5334,0.524256,0.521208,0.5181600000000001,0.56388
63,2021-06-21 10:30:00+00:00,0.0,0.56388,0.5669280000000001,0.56388,0.560832,0.54864,0.542544,0.536448,0.5334,0.524256,0.521208,0.56388
64,2021-06-21 10:40:00+00:00,0.0,0.56388,0.56388,0.5669280000000001,0.56388,0.560832,0.54864,0.542544,0.536448,0.5334,0.524256,0.56388
65,2021-06-21 10:50:00+00:00,-4.689230769230847e-05,0.56388,0.56388,0.56388,0.5669280000000001,0.56388,0.560832,0.54864,0.542544,0.536448,0.5334,0.560832
66,2021-06-21 11:00:00+00:00,0.0,0.560832,0.56388,0.56388,0.56388,0.5669280000000001,0.56388,0.560832,0.54864,0.542544,0.536448,0.560832
67,2021-06-21 11:10:00+00:00,4.549253731343359e-05,0.560832,0.560832,0.56388,0.56388,0.56388,0.5669280000000001,0.56388,0.560832,0.54864,0.542544,0.56388
68,2021-06-21 11:20:00+00:00,0.0,0.56388,0.560832,0.560832,0.56388,0.56388,0.56388,0.5669280000000001,0.56388,0.560832,0.54864,0.56388
69,2021-06-21 11:30:00+00:00,0.0,0.56388,0.56388,0.560832,0.560832,0.56388,0.56388,0.56388,0.5669280000000001,0.56388,0.560832,0.56388
70,2021-06-21 11:40:00+00:00,0.0,0.56388,0.56388,0.56388,0.560832,0.560832,0.56388,0.56388,0.56388,0.5669280000000001,0.56388,0.56388
71,2021-06-21 11:50:00+00:00,-4.292957746478945e-05,0.56388,0.56388,0.56388,0.56388,0.560832,0.560832,0.56388,0.56388,0.56388,0.5669280000000001,0.560832
72,2021-06-21 12:00:00+00:00,-8.466666666666654e-05,0.560832,0.56388,0.56388,0.56388,0.56388,0.560832,0.560832,0.56388,0.56388,0.56388,0.554736
73,2021-06-21 12:10:00+00:00,-4.175342465753342e-05,0.554736,0.560832,0.56388,0.56388,0.56388,0.56388,0.560832,0.560832,0.56388,0.56388,0.5516880000000001
74,2021-06-21 12:20:00+00:00,-8.237837837837825e-05,0.5516880000000001,0.554736,0.560832,0.56388,0.56388,0.56388,0.56388,0.560832,0.560832,0.56388,0.5455920000000001
75,2021-06-21 12:30:00+00:00,-4.0640000000000675e-05,0.5455920000000001,0.5516880000000001,0.554736,0.560832,0.56388,0.56388,0.56388,0.56388,0.560832,0.560832,0.542544
76,2021-06-21 12:40:00+00:00,-8.021052631578935e-05,0.542544,0.5455920000000001,0.5516880000000001,0.554736,0.560832,0.56388,0.56388,0.56388,0.56388,0.560832,0.536448
77,2021-06-21 12:50:00+00:00,-7.916883116883104e-05,0.536448,0.542544,0.5455920000000001,0.5516880000000001,0.554736,0.560832,0.56388,0.56388,0.56388,0.56388,0.530352
78,2021-06-21 13:00:00+00:00,0.0,0.530352,0.536448,0.542544,0.5455920000000001,0.5516880000000001,0.554736,0.560832,0.56388,0.56388,0.56388,0.530352
79,2021-06-21 13:10:00+00:00,0.0,0.530352,0.530352,0.536448,0.542544,0.5455920000000001,0.5516880000000001,0.554736,0.560832,0.56388,0.56388,0.530352
80,2021-06-21 13:20:00+00:00,-3.8100000000000635e-05,0.530352,0.530352,0.530352,0.536448,0.542544,0.5455920000000001,0.5516880000000001,0.554736,0.560832,0.56388,0.527304
81,2021-06-21 13:30:00+00:00,-3.7629629629628886e-05,0.527304,0.530352,0.530352,0.530352,0.536448,0.542544,0.5455920000000001,0.5516880000000001,0.554736,0.560832,0.524256
82,2021-06-21 13:40:00+00:00,-3.717073170731769e-05,0.524256,0.527304,0.530352,0.530352,0.530352,0.536448,0.542544,0.5455920000000001,0.5516880000000001,0.554736,0.521208
83,2021-06-21 13:50:00+00:00,-7.344578313253e-05,0.521208,0.524256,0.527304,0.530352,0.530352,0.530352,0.536448,0.542544,0.5455920000000001,0.5516880000000001,0.515112
84,2021-06-21 14:00:00+00:00,-7.257142857142846e-05,0.515112,0.521208,0.524256,0.527304,0.530352,0.530352,0.530352,0.536448,0.542544,0.5455920000000001,0.509016
85,2021-06-21 14:10:00+00:00,-7.171764705882341e-05,0.509016,0.515112,0.521208,0.524256,0.527304,0.530352,0.530352,0.530352,0.536448,0.542544,0.50292
86,2021-06-21 14:20:00+00:00,-7.088372093023309e-05,0.50292,0.509016,0.515112,0.521208,0.524256,0.527304,0.530352,0.530352,0.530352,0.536448,0.496824
87,2021-06-21 14:30:00+00:00,-3.503448275862063e-05,0.496824,0.50292,0.509016,0.515112,0.521208,0.524256,0.527304,0.530352,0.530352,0.530352,0.493776
