,date,rain,Value
99,2021-06-21 16:30:00+00:00,-0.090421855,0.793131624
100,2021-06-21 16:40:00+00:00,-0.090421855,0.765786989
101,2021-06-21 16:50:00+00:00,-0.090421855,0.752114671
102,2021-06-21 17:00:00+00:00,-0.090421855,0.724770036
103,2021-06-21 17:10:00+00:00,-0.090421855,0.711097718
104,2021-06-21 17:20:00+00:00,-0.090421855,0.683753082
105,2021-06-21 17:30:00+00:00,-0.090421855,0.656408447
106,2021-06-21 17:40:00+00:00,-0.090421855,0.629063812
107,2021-06-21 17:50:00+00:00,-0.090421855,0.615391494
108,2021-06-21 18:00:00+00:00,-0.090421855,0.601719176
109,2021-06-21 18:10:00+00:00,-0.090421855,0.574374541
110,2021-06-21 18:20:00+00:00,-0.090421855,0.547029906
111,2021-06-21 18:30:00+00:00,-0.090421855,0.533357588
112,2021-06-21 18:40:00+00:00,-0.090421855,0.51968527
113,2021-06-21 18:50:00+00:00,-0.090421855,0.506012953
114,2021-06-21 19:00:00+00:00,-0.090421855,0.492340635
115,2021-06-21 19:10:00+00:00,-0.090421855,0.478668317
116,2021-06-21 19:20:00+00:00,-0.090421855,0.464995999
117,2021-06-21 19:30:00+00:00,-0.090421855,0.451323682
118,2021-06-21 19:40:00+00:00,-0.090421855,0.423979046
119,2021-06-21 19:50:00+00:00,-0.090421855,0.410306729
120,2021-06-21 20:00:00+00:00,-0.090421855,0.410306729
121,2021-06-21 20:10:00+00:00,-0.090421855,0.396634411
122,2021-06-21 20:20:00+00:00,-0.090421855,0.369289776
123,2021-06-21 20:30:00+00:00,-0.090421855,0.355617458
124,2021-06-21 20:40:00+00:00,-0.090421855,0.34194514
125,2021-06-21 20:50:00+00:00,-0.090421855,0.328272823
126,2021-06-21 21:00:00+00:00,-0.090421855,0.314600505
127,2021-06-21 21:10:00+00:00,-0.090421855,0.300928187
128,2021-06-21 21:20:00+00:00,-0.090421855,0.28725587
129,2021-06-21 21:30:00+00:00,-0.090421855,0.273583552
130,2021-06-21 21:40:00+00:00,-0.090421855,0.273583552
131,2021-06-21 21:50:00+00:00,-0.090421855,0.259911234
132,2021-06-21 22:00:00+00:00,-0.090421855,0.246238916
133,2021-06-21 22:10:00+00:00,-0.090421855,0.232566599
134,2021-06-21 22:20:00+00:00,-0.090421855,0.218894281
135,2021-06-21 22:30:00+00:00,-0.090421855,0.205221963
136,2021-06-21 22:40:00+00:00,-0.090421855,0.191549646
137,2021-06-21 22:50:00+00:00,-0.090421855,0.177877328
138,2021-06-21 23:00:00+00:00,-0.090421855,0.16420501
139,2021-06-21 23:10:00+00:00,-0.090421855,0.16420501
140,2021-06-21 23:20:00+00:00,-0.090421855,0.150532693
141,2021-06-21 23:30:00+00:00,-0.090421855,0.150532693
142,2021-06-21 23:40:00+00:00,-0.090421855,0.136860375
143,2021-06-21 23:50:00+00:00,-0.090421855,0.123188057
144,2021-06-22 00:00:00+00:00,-0.090421855,0.10951574
145,2021-06-22 00:10:00+00:00,-0.090421855,0.10951574
146,2021-06-22 00:20:00+00:00,-0.090421855,0.095843422
147,2021-06-22 00:30:00+00:00,-0.090421855,0.095843422
148,2021-06-22 00:40:00+00:00,-0.090421855,0.082171104
149,2021-06-22 00:50:00+00:00,-0.090421855,0.082171104
150,2021-06-22 01:00:00+00:00,-0.090421855,0.068498787
151,2021-06-22 01:10:00+00:00,-0.090421855,0.068498787
152,2021-06-22 01:20:00+00:00,-0.090421855,0.054826469
153,2021-06-22 01:30:00+00:00,-0.090421855,0.054826469
154,2021-06-22 01:40:00+00:00,-0.090421855,0.041154151
155,2021-06-22 01:50:00+00:00,-0.090421855,0.027481833
156,2021-06-22 02:00:00+00:00,-0.090421855,0.027481833
157,2021-06-22 02:10:00+00:00,-0.090421855,0.013809516
158,2021-06-22 02:20:00+00:00,-0.090421855,0.000137198
159,2021-06-22 02:30:00+00:00,-0.090421855,0.000137198
160,2021-06-22 02:40:00+00:00,-0.090421855,-0.01353512
161,2021-06-22 02:50:00+00:00,-0.090421855,-0.027207437
162,2021-06-22 03:00:00+00:00,-0.090421855,-0.027207437
163,2021-06-22 03:10:00+00:00,-0.090421855,-0.040879755
164,2021-06-22 03:20:00+00:00,-0.090421855,-0.040879755
165,2021-06-22 03:30:00+00:00,-0.090421855,-0.054552073
166,2021-06-22 03:40:00+00:00,-0.090421855,-0.054552073
167,2021-06-22 03:50:00+00:00,-0.090421855,-0.06822439
168,2021-06-22 04:00:00+00:00,-0.090421855,-0.06822439
169,2021-06-22 04:10:00+00:00,-0.090421855,-0.081896708
170,2021-06-22 04:20:00+00:00,-0.090421855,-0.081896708
171,2021-06-22 04:30:00+00:00,-0.090421855,-0.095569026
172,2021-06-22 04:40:00+00:00,-0.090421855,-0.109241343
173,2021-06-22 04:50:00+00:00,-0.090421855,-0.109241343
174,2021-06-22 05:00:00+00:00,-0.090421855,-0.122913661
175,2021-06-22 05:10:00+00:00,-0.090421855,-0.122913661
176,2021-06-22 05:20:00+00:00,-0.090421855,-0.136585979
177,2021-06-22 05:30:00+00:00,-0.090421855,-0.136585979
178,2021-06-22 05:40:00+00:00,-0.090421855,-0.136585979
179,2021-06-22 05:50:00+00:00,-0.090421855,-0.136585979
180,2021-06-22 06:00:00+00:00,-0.090421855,-0.150258296
181,2021-06-22 06:10:00+00:00,-0.090421855,-0.150258296
182,2021-06-22 06:20:00+00:00,-0.090421855,-0.150258296
183,2021-06-22 06:30:00+00:00,-0.090421855,-0.150258296
184,2021-06-22 06:40:00+00:00,-0.090421855,-0.150258296
185,2021-06-22 06:50:00+00:00,-0.090421855,-0.163930614
186,2021-06-22 07:00:00+00:00,-0.090421855,-0.163930614
187,2021-06-22 07:10:00+00:00,-0.090421855,-0.163930614
188,2021-06-22 07:20:00+00:00,-0.090421855,-0.163930614
189,2021-06-22 07:30:00+00:00,-0.090421855,-0.177602932
190,2021-06-22 07:40:00+00:00,-0.090421855,-0.163930614
191,2021-06-22 07:50:00+00:00,-0.090421855,-0.177602932
192,2021-06-22 08:00:00+00:00,-0.090421855,-0.177602932
193,2021-06-22 08:10:00+00:00,-0.090421855,-0.177602932
194,2021-06-22 08:20:00+00:00,-0.090421855,-0.177602932
195,2021-06-22 08:30:00+00:00,-0.090421855,-0.19127525
196,2021-06-22 08:40:00+00:00,-0.090421855,-0.19127525
197,2021-06-22 08:50:00+00:00,-0.090421855,-0.19127525
198,2021-06-22 09:00:00+00:00,-0.090421855,-0.204947567
199,2021-06-22 09:10:00+00:00,-0.090421855,-0.204947567
200,2021-06-22 09:20:00+00:00,-0.090421855,-0.204947567
201,2021-06-22 09:30:00+00:00,-0.090421855,-0.218619885
202,2021-06-22 09:40:00+00:00,-0.090421855,-0.218619885
203,2021-06-22 09:50:00+00:00,-0.090421855,-0.218619885
204,2021-06-22 10:00:00+00:00,-0.090421855,-0.232292203
205,2021-06-22 10:10:00+00:00,-0.090421855,-0.232292203
206,2021-06-22 10:20:00+00:00,-0.090421855,-0.232292203
207,2021-06-22 10:30:00+00:00,-0.090421855,-0.24596452
208,2021-06-22 10:40:00+00:00,-0.090421855,-0.24596452
209,2021-06-22 10:50:00+00:00,-0.090421855,-0.259636838
210,2021-06-22 11:00:00+00:00,-0.090421855,-0.259636838
211,2021-06-22 11:10:00+00:00,-0.090421855,-0.259636838
212,2021-06-22 11:20:00+00:00,-0.090421855,-0.273309156
213,2021-06-22 11:30:00+00:00,-0.090421855,-0.273309156
214,2021-06-22 11:40:00+00:00,-0.090421855,-0.273309156
215,2021-06-22 11:50:00+00:00,-0.090421855,-0.286981473
216,2021-06-22 12:00:00+00:00,-0.090421855,-0.286981473
217,2021-06-22 12:10:00+00:00,-0.090421855,-0.300653791
218,2021-06-22 12:20:00+00:00,-0.090421855,-0.300653791
219,2021-06-22 12:30:00+00:00,-0.090421855,-0.300653791
220,2021-06-22 12:40:00+00:00,-0.090421855,-0.314326109
